method,n_clusters,silhouette,calinski_harabasz,davies_bouldin,execution_time,embedding,metric,db_inverted,silhouette_norm,calinski_harabasz_norm,db_inverted_norm,score
Agglomerative,2,0.16193802819194628,141.97013204651287,2.09386393754184,0.021260499954223633,RESISTANCE + KEYWORDS,coseno,-2.09386393754184,0.48318493174212984,0.07636622621820503,0.21649397452353947,0.2586817108279581
Agglomerative,5,0.15901278027988514,133.80341724034244,1.6855697260232028,0.01975393295288086,ATTACKS_DMG + KEYWORDS,coseno,-1.6855697260232028,0.48018061331737316,0.07186420412314296,0.3885985655901365,0.3135477943435509
K-Means,2,0.1589945557596066,153.0768635842118,2.2402050481073923,0.017074108123779297,PKMN_TYPES + KEYWORDS,coseno,-2.2402050481073923,0.48016189618169747,0.08248897593745116,0.15480812084357265,0.23915299765424045
K-Means,2,0.15638371269707804,159.69571238828559,2.2376570796122777,0.013882160186767578,KEYWORDS + WEAKNESS,coseno,-2.2376570796122777,0.47748048108366015,0.0861377140490479,0.1558821431136196,0.23983344608210921
K-Means,2,0.15416427135014538,141.78777911371054,1.9837243478835513,0.014014482498168945,PKMN_TYPES + SUPERTYPES,coseno,-1.9837243478835513,0.4752010474316391,0.07626570147207881,0.26292012631216777,0.27146229173862857
K-Means,2,0.15086682800163706,135.85631701554377,2.469043744339877,0.02018880844116211,PKMN_TYPES + WEAKNESS,coseno,-2.469043744339877,0.47181447299271073,0.07299589542940986,0.05834780099525361,0.20105272313912473
Agglomerative,2,0.15014148540125882,164.02910057139667,2.352409757457626,0.038126468658447266,SUPERTYPES + KEYWORDS,coseno,-2.352409757457626,0.47106952411860253,0.08852655825505674,0.10751147770322067,0.22236918669229333
Agglomerative,2,0.1442189074398672,134.4998714654043,2.237910143605143,0.021538496017456055,PKMN_TYPES + KEYWORDS,coseno,-2.237910143605143,0.4649868567254894,0.07224813479586081,0.15577547132210978,0.23100348761448666
BIRCH,3,0.14158871849181717,102.28988375681297,2.1238605782903486,0.04766106605529785,ATTACKS_DMG + PKMN_TYPES,coseno,-2.1238605782903486,0.462285572815624,0.05449190358325714,0.2038497600239223,0.24020907880760115
Agglomerative,2,0.13455533427908187,143.15109329348087,2.557198118031167,0.021636247634887695,KEYWORDS + WEAKNESS,coseno,-2.557198118031167,0.45506207367505896,0.07701724853910753,0.021188879788801573,0.18442273400098938
DBSCAN,4,0.13406547874065233,172.7525527392428,1.1057256538765532,0.012247085571289062,ATTACKS_DMG,coseno,-1.1057256538765532,0.454558977163647,0.0933354900393756,0.633015028287488,0.39363649849683685
BIRCH,2,0.1318480884227108,145.32091145715495,2.536284926601077,0.06865358352661133,ATTACKS_COSTS + KEYWORDS,coseno,-2.536284926601077,0.4522816499806751,0.07821339283298528,0.030004229498477475,0.1868330907707126
BIRCH,2,0.12955627185068305,134.8588552891885,2.607465789060258,0.08773946762084961,KEYWORDS + WEAKNESS,coseno,-2.607465789060258,0.44992788477495815,0.07244602992809014,0.0,0.17412463823434943
K-Means,3,0.1270950977087633,141.04358161003591,1.9178045235666836,0.024071455001831055,ATTACKS_DMG + PKMN_TYPES,coseno,-1.9178045235666836,0.44740018420277167,0.07585545161223287,0.2907067176651009,0.2713207844933685
BIRCH,2,0.12682232071114982,128.91718442475386,1.844893860339221,0.07748699188232422,PKMN_TYPES + KEYWORDS,coseno,-1.844893860339221,0.4471200339439163,0.06917059615231282,0.3214400945417507,0.2792435748793266
DBSCAN,18,0.1243749901341443,93.58030240599842,1.3514522820482622,0.024320125579833984,ATTACKS_COSTS + RESISTANCE,coseno,-1.3514522820482622,0.4446065511332279,0.04969061829158984,0.5294360902017217,0.3412444198755131
Agglomerative,2,0.12173680887704709,130.20415518154235,1.6130951405797378,0.012500524520874023,PKMN_TYPES + SUPERTYPES,coseno,-1.6130951405797378,0.4418970588793012,0.06988005778043076,0.41914812651600664,0.31030841439191287
DBSCAN,19,0.1087063394703781,83.98395547810449,1.1902201663614815,0.010432004928588867,ATTACKS_COSTS + SUPERTYPES,coseno,-1.1902201663614815,0.4285143711555451,0.04440049038500283,0.5973988154969565,0.35677122567916814
DBSCAN,26,0.09698331495803608,96.37539100895907,1.2290434118950881,0.017903804779052734,ATTACKS_DMG + ATTACKS_COSTS,coseno,-1.2290434118950881,0.41647446903610824,0.05123145214545203,0.5810340015761634,0.34957997425257453
DBSCAN,7,0.09383786261080634,68.44698630211687,2.0427451644168917,0.01684117317199707,RESISTANCE + SUPERTYPES,coseno,-2.0427451644168917,0.41324399397038364,0.03583550676787628,0.23804161173292415,0.229040370823728
